"channel","version","build_id","application","os_name","os_version","architecture","country","experiment_id","experiment_branch","e10s_enabled","e10s_cohort","gfx_compositor","quantum_ready","usage_hours","count","main_crashes","content_crashes","gpu_crashes","plugin_crashes","gmplugin_crashes","content_shutdown_crashes","first_paint","first_subsession_count","browser_shim_usage_blocked","permissions_sql_corrupted","defective_permissions_sql_removed","slow_script_notice_count","slow_script_page_count","input_event_response_coalesced_ms_main_above_150","input_event_response_coalesced_ms_main_above_250","input_event_response_coalesced_ms_main_above_2500","input_event_response_coalesced_ms_content_above_150","input_event_response_coalesced_ms_content_above_250","input_event_response_coalesced_ms_content_above_2500","ghost_windows_main_above_1","ghost_windows_content_above_1","gc_max_pause_ms_2_main_above_150","gc_max_pause_ms_2_main_above_250","gc_max_pause_ms_2_main_above_2500","gc_max_pause_ms_2_content_above_150","gc_max_pause_ms_2_content_above_250","gc_max_pause_ms_2_content_above_2500","cycle_collector_max_pause_main_above_150","cycle_collector_max_pause_main_above_250","cycle_collector_max_pause_main_above_2500","cycle_collector_max_pause_content_above_150","cycle_collector_max_pause_content_above_250","cycle_collector_max_pause_content_above_2500","window_start","window_end"
"e989d8cad67c41c6d5ab3c3f8c20c01079071e1bad2505c7d949c2b0996826c7","55.0","96ca2bcd64964eaab8d95d2ea48f09e60322c5430faace90d9ac2f92eb01d137","Firefox","Windows_NT","10.0","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","2997e9dcaf3991cfddae184207059e8284a1423b6565af713b4f57c75aa5351a","null","null","true","multiBucket4","d3d11","true","0.1319444477558136","1","null","null","null","null","null","null","866","1","null","null","null","null","null","20","4","0","54","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"5a92db5866ebc3a88ef2af891c1757ea1d72b1cf7e60fc2ff493c7678d8bc29f","52.2.0","b8226d0f943c481b2d88b7f60d3fcfd8afd29657507de8709a7c11e33b0c3eba","Firefox","Windows_NT","6.0","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","e26d4835894401cc5b83d925af541a3a2cae6c8f71366fd6e8781dbc31974039","null","null","true","test","basic","true","35.6088883834891","7","null","null","null","null","null","null","17277","4","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"5a92db5866ebc3a88ef2af891c1757ea1d72b1cf7e60fc2ff493c7678d8bc29f","52.0.2","bcb7e60b31ae3d2f191b21d219bdfd88243f481f52f178f90ad7bb1ec4121096","Firefox","Windows_NT","5.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","c12ea4ceb9729f119182b7fa9b5b6d7c6271ec1cd8ed1550b85592c4da033850","null","null","false","disqualified-test","basic","false","8.995000347495079","4","null","null","null","null","null","null","31202","3","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","50.0.2","2f527a7d3322b9c25bd9f424f495780b08257759f99a6d90df579ee48f69580f","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","b9b4dd44079166051a4a6be13bd684720b86fd937448ead96f81ac32b0c7760c","null","null","false","test","d3d11","false","0.032499998807907104","1","null","null","null","null","null","null","null","0","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"5a92db5866ebc3a88ef2af891c1757ea1d72b1cf7e60fc2ff493c7678d8bc29f","52.2.0","b8226d0f943c481b2d88b7f60d3fcfd8afd29657507de8709a7c11e33b0c3eba","Firefox","Windows_NT","6.2","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","4a3795a591c19be2e91e95756ecee103bb309d9a3eb7b1a32f99e3e036468636","null","null","false","disqualified-test","d3d11","false","0.3658333329949528","6","null","null","null","null","null","null","45405","6","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Darwin","15.6.0","8514991713e2cdb894c39a62b607a15bc1fb088cce009906770c989847a87577","1dc280d4c4d5cf51d964da9089f6cb81489403451fbee5bbbe83635cbd161a1c","null","null","true","multiBucket4","opengl","true","21.44694381672889","6","null","null","null","null","null","null","1436","1","null","null","null","11","null","20","8","1","348","207","15","0","0","0","0","0","0","0","0","4","4","0","8","5","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","53.0.3","18ab67c981531cf66bdcfb0db6dcb0387887acab412d3f4d9b15b4c136cd373f","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","f5685821a7642bbdeb4266a2d3621f90bd98aced37c12aeef7dbf856b835e44e","null","null","true","test","basic","true","6.164444446563721","1","null","null","null","null","null","null","null","0","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","50.1.0","30504abc73518bddc74c65cafdc9b2e16e65701aac3bc8c10aa9075749181c76","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","a8495fea28e3242da87dd5ef1adb86a027d97d4f105418b95f68121bc3299cb6","null","null","false","disqualified-test","d3d11","false","0.6408333593280986","2","null","null","null","null","null","null","4744","2","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Darwin","16.6.0","8514991713e2cdb894c39a62b607a15bc1fb088cce009906770c989847a87577","09cc1c078c642a984e99723680af9911a76b5f3cbcdfe0006f586df97dfa2e01","null","null","true","addons-set50allmpc-test","opengl","false","20.10972174908966","8","null","null","null","null","null","null","30097","6","null","null","null","null","null","1","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","ecfe3065ab36349c813313890c839295a6a27ce4cad036e6bc98ae321fd2eef2","null","null","true","addons-set50allmpc-test","basic","false","25.5544446692802","5","null","null","null","null","null","null","13999","4","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","53.0.3","18ab67c981531cf66bdcfb0db6dcb0387887acab412d3f4d9b15b4c136cd373f","Firefox","Windows_NT","10.0","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","b841241f54d3fe3edeb4c6db6488fb8358d6a4819be47cceaf8630e0a21b936d","null","null","true","test","d3d11","true","6.068888905458152","9","null","null","null","null","null","null","101358","7","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Windows_NT","10.0","8514991713e2cdb894c39a62b607a15bc1fb088cce009906770c989847a87577","398e512a5d7a054efffd5ae00400aeae7a473e0b361ce419be640a587b9dcec2","null","null","false","disqualified-test","d3d11","false","0.07972222357057035","3","null","null","null","null","null","null","4468","3","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Windows_NT","6.3","8514991713e2cdb894c39a62b607a15bc1fb088cce009906770c989847a87577","b9b4dd44079166051a4a6be13bd684720b86fd937448ead96f81ac32b0c7760c","null","null","false","disqualified-test","d3d11","false","22.833611892536283","4","null","null","null","null","null","null","17887","2","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","50fa6af02276e56954e0b75df3da64fed1a4a35f6e97c0a5c7cf777e1e71ee47","null","null","true","multiBucket4","basic","true","12.65416709962301","6","null","null","null","null","null","null","50532","6","1","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"e989d8cad67c41c6d5ab3c3f8c20c01079071e1bad2505c7d949c2b0996826c7","55.0","510951f48abf4f75d3c5130e59553d42901bbefcde858382b2296778224c3ee9","Firefox","Windows_NT","10.0","8514991713e2cdb894c39a62b607a15bc1fb088cce009906770c989847a87577","390d0c6825bcd06b40d7a2f583d45fe79206c672c5b371602f9e613516eec0c0","null","null","false","disqualified-test","basic","false","0.08611111342906952","1","null","null","null","null","null","null","null","0","null","null","null","null","null","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","49.0.2","43667e413779391e378a596459fa618499689110a938e7340eca09644a87e0ea","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","70153716c6a6fe9c1efc58540e55d5398b88adc531644a6762209db33ceeb293","null","null","false","disqualified-test","d3d11","false","15.663888931274414","1","null","null","null","null","null","null","1606","1","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","48.0.2","d53b8e9759a3f79c1b9dd92fb7fa78f6ed7f2cb6dfded01a1066c307240a0494","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","d8c4addaa80d3b3364b4e07147b3b2935ea5a53e0405516005cd1ff66e4ede5d","null","null","false","control","basic","false","0.3716666662367061","3","null","null","null","null","null","null","8666","1","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","2f38456ea522d7856944e147ea1d9c5c8c1403755658c25ac9296fc4ae251111","null","null","false","disqualified-test","d3d11","false","1.8166667222976685","1","null","null","null","null","null","null","22598","1","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","42.0","d2e76833191a7a79e54ff912f5fb7cafd042c877ebff4d18f420742f3c0f4e52","Firefox","Windows_NT","10.0","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","ebf1416a583831d7026ea84b9bc1f56d6c2c2d713348e4bbd41172428e024645","null","null","false","null","d3d11","null","1.1333333253860474","1","null","null","null","null","null","null","null","0","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Darwin","15.3.0","8514991713e2cdb894c39a62b607a15bc1fb088cce009906770c989847a87577","09cc1c078c642a984e99723680af9911a76b5f3cbcdfe0006f586df97dfa2e01","null","null","false","disqualified-test","opengl","false","25.561111450195312","3","null","null","null","null","null","null","25346","2","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"e989d8cad67c41c6d5ab3c3f8c20c01079071e1bad2505c7d949c2b0996826c7","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","9120c73ee040a1de440926314acb985be95331abe360d9ae3539b0cb6740796a","null","null","false","disqualified-test","basic","false","6.9680554876104","10","null","null","null","null","null","null","39767","10","null","null","null","null","null","597","222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"5a92db5866ebc3a88ef2af891c1757ea1d72b1cf7e60fc2ff493c7678d8bc29f","52.2.0","b8226d0f943c481b2d88b7f60d3fcfd8afd29657507de8709a7c11e33b0c3eba","Firefox","Windows_NT","5.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","bedfa4566121c795f744a8c5c21d283e46cae117e21010aff38c20a72b77d617","null","null","true","test","d3d11","true","2.38527774810791","1","null","null","null","null","null","null","null","0","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","47.0.2","134417444ba305484d22f3a420963f39df053cdda1b2144a57769192fd71b959","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","e26d4835894401cc5b83d925af541a3a2cae6c8f71366fd6e8781dbc31974039","null","null","false","unsupportedChannel","basic","false","25.743333347141743","3","null","null","null","null","null","null","9827","1","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","52.0.2","a2a63df0eee052a5ae01e1149875b2333b54291068d50e32a0aecc25cb228bd5","Firefox","Linux","3.13.0-116-generic","8514991713e2cdb894c39a62b607a15bc1fb088cce009906770c989847a87577","09cc1c078c642a984e99723680af9911a76b5f3cbcdfe0006f586df97dfa2e01","null","null","false","disqualified-test","basic","false","1.7283333539962769","1","null","null","null","null","null","null","1167","1","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Windows_NT","10.0","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","17acb2cd93d32f70dfba7e7addb65b4fc8468dece18dfc403f32bc54e39765b0","null","null","false","disqualified-test","basic","false","7.326111316680908","1","null","null","null","null","null","null","null","0","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Windows_NT","6.1","8514991713e2cdb894c39a62b607a15bc1fb088cce009906770c989847a87577","b9b4dd44079166051a4a6be13bd684720b86fd937448ead96f81ac32b0c7760c","null","null","false","disqualified-test","basic","false","0.8299999833106995","1","null","null","null","null","null","null","3491","1","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","49.0.1","0a160521be75b0097d8825f7b045d2ee618dbb683450dc2f2dca83896742214a","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","b841241f54d3fe3edeb4c6db6488fb8358d6a4819be47cceaf8630e0a21b936d","null","null","true","test","d3d11","true","12.897500038146973","1","null","null","null","null","null","null","3807","1","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"5a92db5866ebc3a88ef2af891c1757ea1d72b1cf7e60fc2ff493c7678d8bc29f","52.2.0","b8226d0f943c481b2d88b7f60d3fcfd8afd29657507de8709a7c11e33b0c3eba","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","1dc280d4c4d5cf51d964da9089f6cb81489403451fbee5bbbe83635cbd161a1c","null","null","false","disqualified-test","basic","false","23.99972152709961","1","null","null","null","null","null","null","null","0","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","53.0.3","18ab67c981531cf66bdcfb0db6dcb0387887acab412d3f4d9b15b4c136cd373f","Firefox","Windows_NT","6.2","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","2afdc65f293dafb5bf33b39cf1edc113b19e801846f13a9985a563b627659a58","null","null","false","disqualified-test","d3d11","false","0.05138888955116272","1","null","null","null","null","null","null","null","0","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Windows_NT","6.3","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","7404c779d21b5d58affd9302eed86d00a4a5645d2f4cae1886e519083e8e5bee","null","null","false","disqualified-test","d3d11","false","83.59277900285088","58","1","null","null","null","null","null","292409","47","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"e989d8cad67c41c6d5ab3c3f8c20c01079071e1bad2505c7d949c2b0996826c7","51.0","e66b50b231bcbc50b357d05990328625a61c9a548e9f82b06fb840dab51dbf91","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","add3d6109ddfabcf9d3b14db939161c33fe3b07a2165b67490dce3b435c2b8bb","null","null","true","addons-set51alladdons-test","d3d11","false","0.9486111402511597","1","null","null","null","null","null","null","5510","1","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
